,Log10Area,Log10Length
Manatee cell stain,2.9255307964571093,2.9611891121287655
Manatee fiber stain,2.9275983614362624,2.944194684858154
Rhesus monkey,2.331496523151338,2.44512852210437
Mandrill cell stained,2.4710258840154258,2.655613175075652
Mandrill myelin stained,2.414916120191468,2.6185161272116355
Giant anteater,2.39566859177545,2.5077230975794116
White-tailed deer,2.549032313566375,2.5807374451117533
Tail-less Tenrec,1.6666765493916529,1.8212118711773069
Goat,2.342510253135214,2.5970834022361653
Llama,2.592363335095245,2.691077912959187
Mongoose lemur,2.0282650225868246,2.1927323541171186
Chimpanzee,2.970969563042136,2.9791602498408896
Night Monkey cell stained coronal,2.060285119152459,2.2317274249646215
Night Monkey fiber stained coronal,2.0693415544140756,2.1763785413419154
Squirrel Monkey,1.8276835095021677,2.181670245852819
Pig,2.5075510713125513,2.5854445615993393
Zebu cell stained,2.821083899683525,2.724056227994211
Cat,2.078625736727276,2.2931564207098307
Lion,2.8050260209410105,2.717892224896452
Polar bear,2.9260998186178444,2.8302039685350455
Spotted hyena cell stained,2.5123226646207084,2.57566553447288
Spotted hyena fiber stained,2.529162571695983,2.587503525003139
Weasel,1.3865955015868003,1.7131332995344735
Yellow mongoose,1.9397126879737685,2.1050689473261834
Indian flying fox,1.9046776285597729,2.1053531649391624
Nine-banded armadillo,2.2064835526973563,2.270327886833232
Philippine flying lemur,1.6487879494490894,1.8932234187023866
Rock hyrax,1.7841638400184243,2.0695415496832616
Zebra,2.8215415776464106,2.7740209037921737
California sealion,3.039865488705564,3.0433493944589305
Harbor seal,2.6979907581902576,2.7826519585072886
American beaver,2.151342637498259,2.225384738241872
Guineapig,1.4081596411583406,1.6443117852473597
Eastern mole,1.0900500649820757,1.4757751881470385
Common shrew cell staining,0.9269581847696018,1.3763281199230937
Common shrew fiber staining,1.0357739516529954,1.516227672882638
Collared peccary,2.339534851613348,2.4235793327278197
Human 20um BigBrain,3.372262027861184,3.426084020183342
Rhesus macaque rm316 Nissl,2.571840018226665,2.6365526998698305
Sheep,2.640425717266031,2.607614811676849
Potto,1.822931667359458,2.165461927481976
Mantled howler,2.260906262675793,2.36424692150398
Pig-tailed macaque,2.4519825154860295,2.6082021344843254
Northern Plains Gray langur,2.534823947853739,2.7144287309826107
European rabbit,1.8874394570729978,2.218147344976814
Treeshrew,1.4510677977824111,1.9018747985094762
Two-toed Sloth,2.3280526060746203,2.315476326316128
Collared anteater,2.1938628402146474,2.3649799222920627
Elephant shrew,1.5041538383461455,1.9183556414451948
Gray kangaroo,2.2579016839569825,2.477479415735664
Mountain beaver,1.9487517499404932,2.132215217600033
Northern Pocket gopher,1.629597490708457,1.9442481848995516
North American Porcupine Cell stain,2.1286311105757902,2.3135944479606496
North American Porcupine Fiber stain,2.1341723365107876,2.31733362558943
Long-tailed chinchilla Cell,1.6721754320110684,1.9813035769948966
Long-tailed chinchilla Fiber,1.6919002331537647,1.9979304390178958
Dog,2.4682400371807924,2.566985344886613
Greater Grison Cell stain,2.011033209242576,2.3919143949889183
Greater Grison Fiber stain,2.0231177982288853,2.3906828505199997
American mink Cell stain,1.6551307637235289,1.9820564718492057
American mink Fiber stain,1.8397394761296484,2.06014304680371
American badger Cell stain,2.176998650717985,2.344337692594077
American badge Fiber stain,2.1852099473340925,2.419904592518491
Ringtail cat Cell stain,1.9547145520277642,2.3061371723620936
Ringtail cat Fiber stain,2.015116164094309,2.3361522772196905
White-nosed Coati,2.2361638562821016,2.391553567061673
Red panda,2.196685162836989,2.400568631707113
West European hedgehog Cell,1.4512936240586767,1.84377589253404
West European hedgehog Fiber,1.4838758860608854,1.8695741679649478
