,Log10Area,Log10Length
Manatee cell stain,3.3022890846464885,2.468703639342839
Manatee fiber stain,3.34956523053444,2.519113751900749
Rhesus monkey,2.933300316559006,2.4755297958446576
Mandrill cell stained,3.0521055133841792,2.5989870972381643
Mandrill myelin stained,3.0493259092798004,2.6108425438905263
Giant anteater,2.657517685160101,2.094071293031092
White-tailed deer,3.0065003005689346,2.5826380975094496
Tail-less Tenrec,2.0922320631083258,1.7447244729290923
Goat,2.8425983877705963,2.5230295216702934
Llama,3.1014568558703655,2.6169828571809
Mongoose lemur,2.490791483387731,2.094697484370294
Chimpanzee,3.3790021018766248,2.8537621296957263
Night Monkey cell stained coronal,2.6429878761025662,2.1510740545089475
Night Monkey fiber stained coronal,2.6195722593080064,2.15538152229444
Squirrel Monkey,2.467381180059614,2.199809682536367
Pig,2.787300067404866,2.3994089408621306
Zebu cell stained,3.4082974408472935,2.8114406583295994
Cat,2.5794327188969057,2.207256903433609
Lion,3.274554945527009,2.7160136560331467
Polar bear,3.3057417275680536,2.724187299784957
Spotted hyena cell stained,3.061177125257304,2.4714160013612347
Spotted hyena fiber stained,3.0718788441085176,2.5824027778664633
Weasel,1.8086450480571652,1.7031653492655152
Yellow mongoose,2.317254308640292,1.9796272256880203
Indian flying fox,2.2500630573752924,1.873893906415935
Nine-banded armadillo,2.245375803505405,1.8179398043052943
Philippine flying lemur,2.0120803831003355,1.815388606562939
Rock hyrax,2.3285247216367813,1.985716458376625
Zebra,3.3477773064518686,2.7604047165197567
California sealion,3.271789756138538,2.86278934049464
Harbor seal,3.13284187077813,2.718603435116514
American beaver,2.5134787495491127,1.911841563306815
Guineapig,1.8646610487581787,1.6341221207744334
Eastern mole,1.5200436932431203,1.4577219732674518
Common shrew cell staining,1.3769327972142367,1.3520908554163695
Common shrew fiber staining,1.364364618362809,1.3432468166055702
Collared peccary,2.5417877651909206,2.231311800402749
Human 20um BigBrain,3.893904876191373,3.110810632128569
Rhesus macaque rm316 Nissl,3.0471838937250237,2.476920220902553
Sheep,2.9683811827154547,2.5004412254060258
Potto,2.2691083849075158,2.0292379694611746
Mantled howler,2.7831409624302257,2.3601919976787924
Pig-tailed macaque,3.074629387122258,2.620273069904895
Northern Plains Gray langur,3.0443950164785583,2.5344009620852592
European rabbit,2.147463670769619,1.7686592029235833
Treeshrew,1.862851163170712,1.6961366802420734
Two-toed Sloth,2.452872205219569,2.074392948094795
Collared anteater,2.4345709624659815,1.990463114115817
Elephant shrew,1.8892444134335353,1.585782515299522
Gray kangaroo,2.5926289929373345,2.1665481305755625
Mountain beaver,2.0800009713583996,1.692949350931234
Northern Pocket gopher,1.7043654324062203,1.4873405124469323
North American Porcupine Cell stain,2.489221993887367,1.975030700819304
North American Porcupine Fiber stain,2.535141227323278,2.054274016541603
Long-tailed chinchilla Cell,1.9756891909507022,1.6542535785623647
Long-tailed chinchilla Fiber,2.061992021363024,1.6712201315676551
Dog,2.9236146320303824,2.4205162528059576
Greater Grison Cell stain,2.473795239177039,2.167040867357297
Greater Grison Fiber stain,2.4759363351497745,2.160836314760084
American mink Cell stain,2.16797755428236,2.011985516037496
American mink Fiber stain,2.1916580188738726,2.048189621027274
American badger Cell stain,2.6555793199333975,2.2434936395937957
American badge Fiber stain,2.6550994221187683,2.23271528230916
Ringtail cat Cell stain,2.318449416760864,2.0548754274954897
Ringtail cat Fiber stain,2.352230960326943,2.025767644716662
White-nosed Coati,2.51573026466898,2.189544888457213
Red panda,2.5986540139714642,2.216706961739103
West European hedgehog Cell,1.8529676975426266,1.607927935799126
West European hedgehog Fiber,1.8970199337953573,1.6343063095076957
