,PeriodMedian,PeriodMean,PeriodStd
Manatee cell stain,3.7874527591085867,4.291261457053067,3.1023923478409143
Manatee fiber stain,3.5779251931673643,4.585482429167796,3.931509455204658
Rhesus monkey,2.805193300643589,2.9374795480253604,1.9048653978597847
Mandrill cell stained,2.23382133055908,2.576072823718977,2.13465336490983
Mandrill myelin stained,2.1360077960072155,2.639616023656094,2.053467846666072
Giant anteater,3.070497483449044,4.072065025053802,4.286836316160265
White-tailed deer,3.751824326280933,4.753497704101693,3.6646319589245264
Tail-less Tenrec,3.5706736142174855,5.966757823867533,4.954593012430376
Goat,2.3683171391414928,3.0064475100620474,2.561929926545559
Llama,3.015043484612174,4.165088190390437,3.168384456635904
Mongoose lemur,2.9823972032898807,3.1784811532891237,2.554190502077623
Chimpanzee,3.1108634048929114,3.786489944472137,3.398260756917456
Night Monkey cell stained coronal,5.273157732175718,5.938068722235883,3.8817905568907536
Night Monkey fiber stained coronal,4.698192557295838,5.492992394872489,3.4786515156647937
Squirrel Monkey,3.2262042023738156,3.527488680330215,1.8914455826162289
Pig,2.4927376804589025,3.5291373301766704,2.97125871720474
Zebu cell stained,4.029937457088423,5.314014257071079,5.023784631490342
Cat,2.0145980299274133,3.166193322516775,3.0921735750030126
Lion,3.218353146069792,4.806378367459122,5.679262457746676
Polar bear,2.8904809031747027,3.825964071330395,3.9492961008217344
Spotted hyena cell stained,3.2037572732433413,4.002399700796538,3.5473492303767906
Spotted hyena fiber stained,2.7296334861800893,3.4562531889257784,3.1455148345932917
Weasel,2.380792154850228,3.3725312245492027,3.447029215313155
Yellow mongoose,3.1454982015560478,3.5226025993992565,2.721542471412151
Indian flying fox,3.345286508890488,3.358508985210214,2.298196668450754
Nine-banded armadillo,2.6068643468981354,2.9637223862223383,2.0325612703709375
Philippine flying lemur,4.05138665403105,5.687748252546389,5.546385468750566
Rock hyrax,3.810964540587476,5.9632252732689315,6.68114012582585
Zebra,4.0930689128809465,5.269429610129482,5.455382266487728
California sealion,2.6014998391874298,3.1706452668819964,2.4537729022653947
Harbor seal,2.1075966186682615,2.734365547749346,2.537272368631425
American beaver,3.0160336423301866,5.128147753076179,5.882257494376969
Guineapig,2.0950574227285648,2.6951141849964833,2.8991349589071755
Eastern mole,1.8848322397876647,2.0919898947021536,1.5909823474567408
Common shrew cell staining,0.19381161740040537,1.295167199758361,2.275931259533416
Common shrew fiber staining,1.4117500285033442,2.3426769630982642,2.2515444642536164
Collared peccary,3.5631652906337825,3.7679976153634813,2.169964834578121
Human 20um BigBrain,2.838905195690763,3.2999176934075236,2.1969739061298164
Rhesus macaque rm316 Nissl,3.7602271130404,3.7951086261483815,2.237809269327809
Sheep,4.048293200738989,5.423908797139832,5.933772785303374
Potto,2.7749505344509586,2.9368639038658744,1.9023272293786557
Mantled howler,5.366633285133348,4.776435266449427,2.608619739768682
Pig-tailed macaque,2.787703385335526,3.157491438993241,2.2680585209327093
Northern Plains Gray langur,3.090559908311521,3.5137437986283735,2.766479925175094
European rabbit,2.680980647989837,3.138390984316297,2.4702260716406452
Treeshrew,1.4193451164082564,3.019220971307037,3.829778394602357
Two-toed Sloth,3.2416922479674026,4.074826904908025,4.089808539221701
Collared anteater,3.6133643045472477,3.9680522952123174,2.8693608925690812
Elephant shrew,2.003995222025718,2.6121258475775475,2.4506699666404574
Gray kangaroo,2.31018859545439,2.926428458177145,2.59145305468984
Mountain beaver,2.1458662957604493,2.8589566077152684,2.416998027168308
Northern Pocket gopher,1.4133335744069668,1.636040683101398,1.0258347795087037
North American Porcupine Cell stain,2.4680207254258844,3.4549307052748732,3.3749822119970307
North American Porcupine Fiber stain,2.1528107525203715,3.146639248397042,3.642751312283585
Long-tailed chinchilla Cell,2.1857643645428584,2.4303586608046936,1.613070002681519
Long-tailed chinchilla Fiber,2.38675074835631,2.422812341871922,1.5614011688410736
Dog,2.5710202113804907,3.279539777354555,2.1198943128397567
Greater Grison Cell stain,3.77148639865844,3.6125577468631205,1.8769957689087857
Greater Grison Fiber stain,2.8953926165952675,3.456623370171148,2.3014087597959905
American mink Cell stain,2.077968053691013,2.259872848534195,1.5335346387329558
American mink Fiber stain,2.3981039823486787,2.4020167325130948,1.450150695651351
American badger Cell stain,3.0265731224492973,3.2425558157058125,2.142914747715462
American badge Fiber stain,2.6433665422908765,3.2826483420021026,2.8837884738124493
Ringtail cat Cell stain,1.9416563081535871,2.0806693305488655,2.1046348613328103
Ringtail cat Fiber stain,2.1143543674829055,2.641627407855696,2.1310374459867387
White-nosed Coati,1.8180678701585342,2.3936225349363376,1.9319500790420563
Red panda,2.3532206274711203,2.960910551959831,3.0310331609163215
West European hedgehog Cell,2.814191045833243,3.217790804688076,2.6535301700572105
West European hedgehog Fiber,2.7501234300135264,3.431576666677099,2.956856914298655
