"","Microdraw_name","Log10Area.cb","Log10Length.cb","Log10Area.ctx","Log10Length.ctx","Log10WidthMedian","Log10PeriodMedian","Log10ThicknessMedian","Binomial_name","Binomial_name_timetree","English_name","Provenance","Log10BodyWeight","Log10BrainWeight"
"Ailurus_fulgens","Red panda",2.19668516283699,2.40056863170711,2.59865401397146,2.2167069617391,-0.0628028259027429,0.37166264659864,-0.674236063417515,"Ailurus_fulgens","Ailurus_fulgens","Red panda","Brainmuseum",8.49699048409872,3.70990682130601
"Alouatta_palliata","Mantled howler",2.26090626267579,2.36424692150398,2.78314096243023,2.36019199767879,0.175955853924896,0.729701919921975,-0.61232904119786,"Alouatta_palliata","Alouatta_palliata","Mantled howler","Brainmuseum",8.74033674273045,3.90962012081184
"Aotus_trivirgatus","Night Monkey cell stained coronal",2.06028511915246,2.23172742496462,2.64298787610257,2.15107405450895,0.164418732355889,0.722070762264329,-0.571787428849808,"Aotus_trivirgatus","Aotus_trivirgatus","Night monkey","Brainmuseum",6.89669433162271,2.82435065679837
"Aplodontia_rufa","Mountain beaver",1.94875174994049,2.13221521760003,2.0800009713584,1.69294935093123,-0.0458253098810061,0.331602658532812,-0.765416919277597,"Aplodontia_rufa","Aplodontia_rufa","Mountain beaver","Brainmuseum",7.00306545878646,1.95160817016995
"Bassariscus_astutus","Ringtail cat Cell stain",1.95471455202776,2.30613717236209,2.31844941676086,2.05487542749549,-0.13382111633104,0.288172358073465,-0.790731691888884,"Bassariscus_astutus","Bassariscus_astutus","Ringtail cat","Brainmuseum",7.02997291170639,2.79971738962803
"Bos_indicus","Zebu cell stained",2.82108389968352,2.72405622799421,3.40829744084729,2.8114406583296,0.127165037403001,0.605298306128169,NA,"Bos_taurus_indicus","Bos_indicus","Zebu","Brainmuseum",13.1615840905576,6.12249280951438
"Canis_lupus","Dog",2.46824003718079,2.56698534488661,2.92361463203038,2.42051625280596,0.12560368689157,0.410105490744968,-0.551357051528742,"Canis_familiaris","Canis_lupus","Dog","Brainmuseum",10.3449630981673,4.86753445045558
"Capra_hircus","Goat",2.34251025313521,2.59708340223617,2.8425983877706,2.52302952167029,-0.0181742091225844,0.374439857914466,-0.698807174434004,"Capra_hircus_domestica","Capra_hircus","Goat","Brainmuseum",10.3089526606442,4.66343909411206
"Castor_canadensis","American beaver",2.15134263749826,2.22538473824187,2.51347874954911,1.91184156330682,0.118415814778734,0.479436181560094,-0.718907518155115,"Castor_canadensis","Castor_canadensis","American beaver","Brainmuseum",8.32161616781983,3.06339092202781
"Cavia_porcellus","Guineapig",1.40815964115834,1.64431178524736,1.86466104875818,1.63412212077443,-0.258874554813512,0.321195930897724,-0.813266798986057,"Cavia_porcellus","Cavia_porcellus","Guinea pig","Brainmuseum",6.16541785423142,1.57484646766448
"Chinchilla_lanigera","Long-tailed chinchilla Cell",1.67217543201107,1.9813035769949,1.9756891909507,1.65425357856236,-0.0140677712694933,0.339603341193427,-0.80996540481897,"Chinchilla_lanigera","Chinchilla_lanigera","Long-tailed chinchilla","Brainmuseum",5.91889385427314,1.91692261218206
"Choloepus_didactylus","Two-toed Sloth",2.32805260607462,2.31547632631613,2.45287220521957,2.0743929480948,0.180339214884503,0.510771782457696,-0.665761438771177,"Choloepus_didactylus","Choloepus_didactylus","Two-toed sloth","Brainmuseum",8.31385226739821,3.25540059955057
"Crocuta_crocuta","Spotted hyena cell stained",2.51232266462071,2.57566553447288,3.0611771252573,2.47141600136123,0.096416900013105,0.505659605138727,-0.478788667982435,"Crocuta_crocuta","Crocuta_crocuta","Spotted hyena","Brainmuseum",11.0508900053737,4.97002161121096
"Cynictis_penicillata","Yellow mongoose",1.93971268797377,2.10506894732618,2.31725430864029,1.97962722568802,0.0799123881549272,0.497689441212487,-0.697242780038863,"Cynictis_penicillata","Cynictis_penicillata","Yellow mongoose","Brainmuseum",6.73340189183736,2.35042242240821
"Cynocephalus_volans","Philippine flying lemur",1.64878794944909,1.89322341870239,2.01208038310034,1.81538860656294,0.268232481907979,0.607603693121585,-0.685747145602222,"Cynocephalus_volans","Cynocephalus_volans","Philippine flying lemur","Brainmuseum",6.69703424766648,1.82454929205105
"Dasypus_novemcinctus","Nine-banded armadillo",2.20648355269736,2.27032788683323,2.2453758035054,1.81793980430529,0.0333720915031275,0.416118432424025,-0.701411072409056,"Dasypus_novemcinctus","Dasypus_novemcinctus","Nine-banded armadillo","Brainmuseum",8.3039999709552,2.32727770558442
"Elephantulus_myurus","Elephant shrew",1.50415383834615,1.91835564144519,1.88924441343354,1.58578251529952,0.172693892082814,0.301896681740947,-0.799461386987728,"Elephantulus_myurus","Elephantulus_myurus","Elephant shrew","Brainmuseum",3.99959422567628,0.314810739840033
"Equus_grevyi","Zebra",2.82154157764641,2.77402090379217,3.34777730645187,2.76040471651976,0.254850706377573,0.612049056698038,NA,"Equus_burchellii","Equus_grevyi","Zebra","Brainmuseum",12.4292161968443,6.41673228251232
"Erethizon_dorsatum","North American Porcupine Cell stain",2.12863111057579,2.31359444796065,2.48922199388737,1.9750307008193,0.065848687586962,0.392348802403466,-0.664435795427923,"Erethizon_dorsatum","Erethizon_dorsatum","North American porcupine","Brainmuseum",8.21630429147717,2.83907846350861
"Erinaceus_europaeus","West European hedgehog Cell",1.45129362405868,1.84377589253404,1.85296769754263,1.60792793579913,-0.0373623847714147,0.449353576870875,-0.8087530456764,"Erinaceus_europaeus","Erinaceus_europaeus","West European hedgehog","Brainmuseum",6.75693238924755,1.20896034583698
"Eulemur_mongoz","Mongoose lemur",2.02826502258682,2.19273235411712,2.49079148338773,2.09469748437029,0.00747141725250937,0.474565483419213,-0.685804020896716,"Eulemur_mongoz","Eulemur_mongoz","Mongoose lemur","Brainmuseum",7.10002716662926,3.00419635196612
"Felis_catus","Cat",2.07862573672728,2.29315642070983,2.57943271889691,2.20725690343361,-0.036599744438059,0.304188404919086,-0.723751948880456,"Felis_catus","Felis_catus","Cat","Brainmuseum",8.10167774745457,3.24259235148551
"Galictis_vittata","Greater Grison Cell stain",2.01103320924258,2.39191439498892,2.47379523917704,2.1670408673573,0.106909669843628,0.576512545832093,-0.750928891181752,"Galictis_vittata","Galictis_vittata","Greater grison","Brainmuseum",7.76131918094799,3.14285833844428
