,Binomial_name_timetree,Binomial_name,Microdraw_name,English_name,Log10Area.cb,Log10Length.cb,Log10ThicknessMedian,Log10ThicknessMean,Log10ThicknessStd,Log10PeriodMedian,Log10PeriodMean,Log10PeriodStd,Log10WidthMedian,Log10WidthMean,Log10WidthStd,Log10Area.ctx,Log10Length.ctx,Order,Provenance,Log10BodyWeight,Log10BrainWeight,Source
Ailurus_fulgens,Ailurus_fulgens,Ailurus_fulgens,Red panda,Red panda,2.19668516283699,2.40056863170711,-0.674236063417515,-0.631932642729929,-0.959330424597155,0.37166264659864,0.471425287707762,0.481590687777782,-0.0628028259027429,0.128250453689535,0.269213986201548,2.59865401397146,2.2167069617391,Carnivora,Brainmuseum,8.49699048409872,3.70990682130601,Smaers 2021
Alouatta_palliata,Alouatta_palliata,Alouatta_palliata,Mantled howler,Mantled howler,2.26090626267579,2.36424692150398,-0.61232904119786,-0.581599263315113,-0.99661702740171,0.729701919921975,0.679103896262803,0.416410776319,0.175955853924896,0.334268416851528,0.336929026033744,2.78314096243023,2.36019199767879,Primates,Brainmuseum,8.74033674273045,3.90962012081184,Smaers 2021
Aotus_trivirgatus,Aotus_trivirgatus,Aotus_trivirgatus,Night Monkey cell stained coronal,Night monkey,2.06028511915246,2.23172742496462,-0.571787428849808,-0.482730185875581,-0.74887788682557,0.722070762264329,0.773645219449841,0.589032099202663,0.164418732355889,0.373145080733823,0.364624266224376,2.64298787610257,2.15107405450895,Primates,Brainmuseum,6.89669433162271,2.82435065679837,Smaers 2021
Aplodontia_rufa,Aplodontia_rufa,Aplodontia_rufa,Mountain beaver,Mountain beaver,1.94875174994049,2.13221521760003,-0.765416919277597,-0.770502458436558,-1.2080231897874,0.331602658532812,0.456207563831991,0.383276295922641,-0.0458253098810061,0.103943290676098,0.105389300346623,2.0800009713584,1.69294935093123,Rodentia,Brainmuseum,7.00306545878646,1.95160817016995,Smaers 2021
Bassariscus_astutus,Bassariscus_astutus,Bassariscus_astutus,Ringtail cat Cell stain,Ringtail cat,1.95471455202776,2.30613717236209,-0.790731691888884,-0.770453815918454,-1.1298332069646,0.288172358073465,0.318203065637495,0.323176759808966,-0.13382111633104,-0.0156063472216963,0.0703022532066123,2.31844941676086,2.05487542749549,Carnivora,Brainmuseum,7.02997291170639,2.79971738962803,Smaers 2021
Bos_indicus,Bos_indicus,Bos_taurus_indicus,Zebu cell stained,Zebu,2.82108389968352,2.72405622799421,NA,-0.214303661224094,-0.391598068290175,0.605298306128169,0.725422715252842,0.7010310130221,0.127165037403001,0.382705615269328,0.537595828743494,3.40829744084729,2.8114406583296,Artiodactyla,Brainmuseum,13.1615840905576,6.12249280951438,Ballarin et al 2016
Canis_lupus,Canis_lupus,Canis_familiaris,Dog,Dog,2.46824003718079,2.56698534488661,-0.551357051528742,-0.494106928471946,-0.76319579495839,0.410105490744968,0.515812902803483,0.326314209752036,0.12560368689157,0.221931833899545,0.113612019572243,2.92361463203038,2.42051625280596,Carnivora,Brainmuseum,10.3449630981673,4.86753445045558,Burger et al 2019
Capra_hircus,Capra_hircus,Capra_hircus_domestica,Goat,Goat,2.34251025313521,2.59708340223617,-0.698807174434004,-0.642370028043238,-0.962438055179492,0.374439857914466,0.478053625846774,0.408567246825225,-0.0181742091225844,0.154212456858021,0.224234484099004,2.8425983877706,2.52302952167029,Artiodactyla,Brainmuseum,10.3089526606442,4.66343909411206,Ballarin et al 2016
Castor_canadensis,Castor_canadensis,Castor_canadensis,American beaver,American beaver,2.15134263749826,2.22538473824187,-0.718907518155115,-0.67301932195693,-1.01319379217923,0.479436181560094,0.70996052965843,0.769544031721437,0.118415814778734,0.500341597839745,0.603288245973343,2.51347874954911,1.91184156330682,Rodentia,Brainmuseum,8.32161616781983,3.06339092202781,Smaers 2021
Cavia_porcellus,Cavia_porcellus,Cavia_porcellus,Guineapig,Guinea pig,1.40815964115834,1.64431178524736,-0.813266798986057,-0.76030020331334,-1.02796433697814,0.321195930897724,0.43057716984312,0.462268432859107,-0.258874554813512,0.098807651672038,0.282538826576466,1.86466104875818,1.63412212077443,Rodentia,Brainmuseum,6.16541785423142,1.57484646766448,Burger et al 2019
Chinchilla_lanigera,Chinchilla_lanigera,Chinchilla_lanigera,Long-tailed chinchilla Cell,Long-tailed chinchilla,1.67217543201107,1.9813035769949,-0.80996540481897,-0.776374283306204,-1.19260908419509,0.339603341193427,0.385670369447819,0.20765321495165,-0.0140677712694933,0.028211950228301,-0.141191237774065,1.9756891909507,1.65425357856236,Rodentia,Brainmuseum,5.91889385427314,1.91692261218206,Burger et al 2019
Choloepus_didactylus,Choloepus_didactylus,Choloepus_didactylus,Two-toed Sloth,Two-toed sloth,2.32805260607462,2.31547632631613,-0.665761438771177,-0.605546567989887,-0.94130831718077,0.510771782457696,0.610109165017116,0.611702977370229,0.180339214884503,0.301394672970129,0.422108200990654,2.45287220521957,2.0743929480948,Pilosa,Brainmuseum,8.31385226739821,3.25540059955057,Smaers 2021
Crocuta_crocuta,Crocuta_crocuta,Crocuta_crocuta,Spotted hyena cell stained,Spotted hyena,2.51232266462071,2.57566553447288,-0.478788667982435,-0.405769926040861,-0.582378862136106,0.505659605138727,0.602320457409228,0.549903946114892,0.096416900013105,0.259955492976918,0.366339850866306,3.0611771252573,2.47141600136123,Carnivora,Brainmuseum,11.0508900053737,4.97002161121096,Smaers 2021
Cynictis_penicillata,Cynictis_penicillata,Cynictis_penicillata,Yellow mongoose,Yellow mongoose,1.93971268797377,2.10506894732618,-0.697242780038863,-0.62696287935628,-0.841761178801499,0.497689441212487,0.546863651236052,0.43481511614933,0.0799123881549272,0.247017173011732,0.210903910563224,2.31725430864029,1.97962722568802,Carnivora,Brainmuseum,6.73340189183736,2.35042242240821,Smaers 2021
Cynocephalus_volans,Cynocephalus_volans,Cynocephalus_volans,Philippine flying lemur,Philippine flying lemur,1.64878794944909,1.89322341870239,-0.685747145602222,-0.679693740125813,-1.11572134039443,0.607603693121585,0.754940365684174,0.744010049362627,0.268232481907979,0.348962586410534,0.353386199731052,2.01208038310034,1.81538860656294,Dermoptera,Brainmuseum,6.69703424766648,1.82454929205105,Smaers 2021
Dasypus_novemcinctus,Dasypus_novemcinctus,Dasypus_novemcinctus,Nine-banded armadillo,Nine-banded armadillo,2.20648355269736,2.27032788683323,-0.701411072409056,-0.628265499385583,-0.929127611841813,0.416118432424025,0.471837520569667,0.308043646016628,0.0333720915031275,0.181212581247567,0.185658551730437,2.2453758035054,1.81793980430529,Cingulata,Brainmuseum,8.3039999709552,2.32727770558442,Smaers 2021
Elephantulus_myurus,Elephantulus_myurus,Elephantulus_myurus,Elephant shrew,Elephant shrew,1.50415383834615,1.91835564144519,-0.799461386987728,-0.765771329679102,-1.14965830648824,0.301896681740947,0.416994096642807,0.3892848284623,0.172693892082814,0.189382463708232,0.0739299684844216,1.88924441343354,1.58578251529952,Macroscelidea,Brainmuseum,3.99959422567628,0.314810739840033,Burger et al 2019
Equus_grevyi,Equus_grevyi,Equus_burchellii,Zebra,Zebra,2.82154157764641,2.77402090379217,NA,-0.277341402344343,-0.468696113353063,0.612049056698038,0.721763607512376,0.736825187630062,0.254850706377573,0.409556518650648,0.506787505249948,3.34777730645187,2.76040471651976,Perissodactyla,Brainmuseum,12.4292161968443,6.41673228251232,Burger et al 2020
Erethizon_dorsatum,Erethizon_dorsatum,Erethizon_dorsatum,North American Porcupine Cell stain,North American porcupine,2.12863111057579,2.31359444796065,-0.664435795427923,-0.656676106803145,-1.06686109730755,0.392348802403466,0.538439341256225,0.52827148820352,0.065848687586962,0.180066722629724,0.122705073466591,2.48922199388737,1.9750307008193,Rodentia,Brainmuseum,8.21630429147717,2.83907846350861,Smaers 2021
