"","Group","Species","Common name","Brain volume","Total Cb volume","Vermis (excl Cb10)","Hemisphere (excl Fl)","Flocculo-nodular Cb Cx","Ratio Hemisph/ Vermis","Total Cb Cx volume","Cb white matter","Pn and RtTg volume","Deep Cb nu volume","Cb ext surface (ESA)","Cb pial surface (PSA)","Foliation index","Binomial_name_timetree"
"1","Monotreme","Ornithorhynchus anatinus 1","Platypus",10758,808,336,298,22.9,0.89,658,126,25.6,24.9,441,1005,2.28,"Ornithorhynchus_anatinus_1"
"2","Monotreme","Ornithorhynchus anatinus 2","Platypus",16710,1284,570,455,30.1,0.8,1056,201,40.9,27.3,575,1145,1.99,"Ornithorhynchus_anatinus_2"
"3","Monotreme","Ornithorhynchus anatinus 3","Platypus",6405,412,192,133,15.9,0.69,340,53.3,11.1,18.2,207,412,1.99,"Ornithorhynchus_anatinus_3"
"4","Monotreme","Platypus mean","Platypus",11291,835,366,296,22.9,0.79,685,127,25.9,23.5,408,854,2.1,"Platypus_mean"
"5","Monotreme","Platypus SD","Platypus",5173,438,191,161,7.09,NA,359,74,14.9,4.72,186,389,NA,"Platypus_SD"
"6","Monotreme","Tachyglossus aculeatus 1","Short-beaked echidna",20000,958,450,351,29.2,0.78,830,103,41.4,25,490,1142,2.33,"Tachyglossus_aculeatus_1"
"7","Monotreme","Tachyglossus aculeatus 2","Short-beaked echidna",20189,1554,840,301,41,0.36,1182,345,24.4,26.5,624,1388,2.22,"Tachyglossus_aculeatus_2"
"8","Monotreme","Tachyglossus aculeatus 3","Short-beaked echidna",20047,1098,489,380,24.5,0.78,893,183,27.7,21.6,503,1032,2.05,"Tachyglossus_aculeatus_3"
"9","Monotreme","Short-beaked echidna mean","Short-beaked echidna",20079,1203,593,344,31.6,0.64,969,210,31.2,24.4,539,1187,2.2,"Short-beaked_echidna_mean"
"10","Monotreme","Short-beaked echidna SD","Short-beaked echidna",98.4,385,215,39.8,8.47,NA,259,123,9.02,2.49,73.9,182,NA,"Short-beaked_echidna_SD"
"11","Monotreme","Zaglossus bruijnii","Long-beaked echidna",45366,3580,1054,1850,26.1,1.75,2930,556,118,93.5,1375,2682,1.95,"Zaglossus_bruijnii"
"12","Didelphimorphid","Caluromys derbianus","Derby's wolly opossum",6725,565,268,212,15,0.79,495,59.2,22.7,11.4,303,719,2.37,"Caluromys_derbianus"
