Binomial_name,Binomial_name_timetree,Microdraw_name,English_name,Provenance,LogBodyWeight,LogBrainWeight
Ailurus_fulgens,Ailurus_fulgens,Red panda,Red panda,Brainmuseum,8.49699048409872,3.70990682130601
Alouatta_palliata,Alouatta_palliata,Mantled howler,Mantled howler,Brainmuseum,8.74033674273045,3.90962012081184
Aotus_trivirgatus,Aotus_trivirgatus,Night Monkey cell stained coronal,Night monkey,Brainmuseum,6.89669433162271,2.82435065679837
Aplodontia_rufa,Aplodontia_rufa,Mountain beaver,Mountain beaver,Brainmuseum,7.00306545878646,1.95160817016995
Bassariscus_astutus,Bassariscus_astutus,Ringtail cat Cell stain,Ringtail cat,Brainmuseum,7.02997291170639,2.79971738962803
Bos_taurus_indicus,Bos_indicus,Zebu cell stained,Zebu,Brainmuseum,13.1615840905576,6.12249280951438
Canis_familiaris,Canis_lupus,Dog,Dog,Brainmuseum,10.3449630981673,4.86753445045558
Capra_hircus_domestica,Capra_hircus,Goat,Goat,Brainmuseum,10.3089526606442,4.66343909411206
Castor_canadensis,Castor_canadensis,American beaver,American beaver,Brainmuseum,8.32161616781983,3.06339092202781
Cavia_porcellus,Cavia_porcellus,Guineapig,Guinea pig,Brainmuseum,6.16541785423142,1.57484646766448
Chinchilla_lanigera,Chinchilla_lanigera,Long-tailed chinchilla Cell,Long-tailed chinchilla,Brainmuseum,5.91889385427314,1.91692261218206
Choloepus_didactylus,Choloepus_didactylus,Two-toed Sloth,Two-toed sloth,Brainmuseum,8.31385226739821,3.25540059955057
Crocuta_crocuta,Crocuta_crocuta,Spotted hyena cell stained,Spotted hyena,Brainmuseum,11.0508900053737,4.97002161121096
Cynictis_penicillata,Cynictis_penicillata,Yellow mongoose,Yellow mongoose,Brainmuseum,6.73340189183736,2.35042242240821
Cynocephalus_volans,Cynocephalus_volans,Philippine flying lemur,Philippine flying lemur,Brainmuseum,6.69703424766648,1.82454929205105
Dasypus_novemcinctus,Dasypus_novemcinctus,Nine-banded armadillo,Nine-banded armadillo,Brainmuseum,8.3039999709552,2.32727770558442
Elephantulus_myurus,Elephantulus_myurus,Elephant shrew,Elephant shrew,Brainmuseum,3.99959422567628,0.314810739840033
Equus_burchellii,Equus_grevyi,Zebra,Zebra,Brainmuseum,12.4292161968443,6.41673228251232
Erethizon_dorsatum,Erethizon_dorsatum,North American Porcupine Cell stain,North American porcupine,Brainmuseum,8.21630429147717,2.83907846350861
Erinaceus_europaeus,Erinaceus_europaeus,West European hedgehog Cell,West European hedgehog,Brainmuseum,6.75693238924755,1.20896034583698
Eulemur_mongoz,Eulemur_mongoz,Mongoose lemur,Mongoose lemur,Brainmuseum,7.10002716662926,3.00419635196612
