URL,Name,ncbi tx id,Gene bank common name,1st Cb slice,Last Cb slice,Cb slices,Mid Cb slice,Status,Review,Cb 25% slice,Status.1,Review.1,Cb 75% slice,Status.2,Scale bar (mm),Comment,1st Ctx slice,Last Ctx slice,Cortex slices,Mid Ctx slice,Status.3,Review.2,Ctx 25% slice,Status.4,Ctx 75% slice,Status.5,Unnamed: 27,Dentate_there,Unnamed: 29
https://microdraw.pasteur.fr/manatee_cell/manatee_cell.json,Manatee cell stain,127582.0,Florida manatee,69.0,104.0,36,87.0,Done (KH),,78.0,Done (SLV),x KH x,95.0,Done (SLV),10.0,,12.0,92.0,81.0,52.0,Done (KH),,32.0,Done (RT),72.0,Done (RT),,unclear,
https://microdraw.pasteur.fr/manatee_fiber/manatee_fiber.json,Manatee fiber stain,,,68.0,102.0,35,85.0,Done (RT),xKH,77.0,Done (KH),,94.0,Done (KH),10.0,,11.0,90.0,80.0,51.0,Done (KH),,31.0,Done (KH),70.0,Done (KH),,unclear,
https://microdraw.pasteur.fr/rhesusmonkey_cell/rhesusmonkey_cell.json,Rhesus monkey,9544.0,,65.0,98.0,34,82.0,Done (KH),,73.0,Done (KH),,90.0,Done (KH) ,10.0,,0.0,103.0,104.0,52.0,Done (KH),,26.0,Done (KH),77.0,Done (KH),,83(?),
https://microdraw.pasteur.fr/mandrill_cell/mandrill_cell.json,Mandrill cell stained,,,41.0,62.0,22,52.0,Done (KH),,46.0,Done (SLV),x KH ,57.0,Done (KH) There is a segment here from the middle?,10.0,Tricky (SLV),0.0,73.0,74.0,37.0,Done (KH),,18.0,Done (RT),55.0,Done (RT),,51(?),
https://microdraw.pasteur.fr/mandrill_fiber/mandrill_fiber.json,Mandrill myelin stained,,,35.0,53.0,19,44.0,Done (KH),,40.0,Done (KH),,49.0,Done (KH),10.0,,0.0,62.0,63.0,31.0,Done (KH),,16.0,Done (KH),47.0,Done (KH),,43(?),!! slide 33 mix up!
https://microdraw.pasteur.fr//giantanteater_cell/giantanteater_cell.json,Giant anteater,,,88.0,123.0,36,106.0,Done (KH),,97.0,Done (KH),,114.0,Done (KH),10.0,Superficial bit in slice 87,23.0,96.0,74.0,60.0,Done (KH),,41.0,Done (RT),78.0,Done (RT),,unclear,
https://microdraw.pasteur.fr/deer_cor_cell/deer_cor_cell.json,White-tailed deer,,,99.0,145.0,47,122.0,Done (KH),,111.0,Done (KH),,134.0,Done (KH),10.0,,9.0,117.0,109.0,63.0,Done (KH),,36.0,Done (KH),90.0,Done (KH),,unclear,
https://microdraw.pasteur.fr/tenrecEcaudatus_cor_cell/tenrecEcaudatus_cor_cell.json,Tail-less Tenrec,,,28.0,39.0,12,34.0,Done (KH),,31.0,Done (KH),,36.0,Done (KH),5.0,,11.0,27.0,17.0,18.0,18! Done (KH) (slice 18 was less damaged),,15.0,Done (KH),23.0,Done (KH),,unclear,
https://microdraw.pasteur.fr/goat_cor_cell/goat_cor_cell.json,Goat,,,31.0,47.0,17,39.0,Done (KH),,35.0,Done (SLV),x KH,43.0,Done (KH),10.0,,0.0,39.0,40.0,20.0,Done (KH),,10.0,Done (RT),29.0,Done (RT),,unclear,
https://microdraw.pasteur.fr/mouselemur_sag_cell/mouselemur_sag_cell.json,Mouselemur cell stained,,,,,1,,,,,,,,,,Sagittal orientation,,,,,,,,,,,,,
